Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,0.00967,0.0,0.08234,0.26433,0.4402,6.32857,1.09546,7.6919,2.91885,2.46393,4.64686,6.89526,24.11575,16.11176,25.96817,18.33162,4.49858,4.53253,2.30309,3.19592,2.92919,8.76625,13.47953,17.272,3.20959,15.59157,6.90463,7.98838,2.26497,3.99107,1.71908,6.63436,12.02738,4.91636,,
Australia,,,,,34.02,21.17,12.02,11.92,13.19,15.07,39.93,32.62,44.05,43.64,45.73,74.22,66.87,35.65,57.45,109.21,94.18,186.41,347.38,151.66,158.12,183.27,131.51,86.44,81.58,108.63,123.53,104.25,123.2,146.07142,107.16654,
Austria,,,,,,,1.72791,1.81386,1.82243,2.14412,2.29142,1.67798,10.02731,5.90496,3.75921,11.99262,4.58387,4.13314,6.2511,13.34937,14.72934,28.87554,43.70701,21.17157,10.68228,10.79484,4.53679,11.97978,8.10059,8.33683,4.52114,8.632,11.249,12.53095,6.95227,5.844609999999999
Belgium,0.4235,0.34847,1.63944,1.22817,2.47527,7.62959,3.5117,3.23118,6.38563,5.99626,8.42157,11.73715,9.3764,73.89747,33.50605,27.6997,36.03509,10.59046,8.74431,42.47055,29.04583,24.94423,29.70533,119.10743,20.5968,35.6923,34.12691,30.35835,18.6844,17.62113,129.14231,13.62933,8.51866,19.54721,14.15865,
Brazil,0.14,0.02,0.2,0.44,0.06,0.65,0.69,1.35,1.45,1.52,5.43,11.67,28.14,52.28,19.52,48.13,23.46,18.95,17.35,25.6,14.99,74.38,52.28,105.12,70.43,160.16,92.52,69.38,69.13,56.74,50.12,47.33599,65.63327,41.95591,54.519059999999996,
BRICS,,,,,,,,,,,14.15174,25.80402,62.72305,106.13031,60.814,128.00965,64.27962,72.64708,101.67135,116.92527,200.97611,244.23435,424.94075,412.33402,308.38415,415.01018,,433.85444,462.86212,575.03958,1031.6468,852.80534,774.2199,733.38419,567.9480500000001,
Brunei,,,,,,,,,178.99,,24.79,250.81,0.0,2.12,34.27,0.0,34.91,,8.79,93.61,0.01,1.25,1.45,0.0,20.87,0.0,1.45,2.79,0.03,17.35,45.53,0.39,0.0,0.08,0.27003,
Cambodia,,,,,,,,,0.0,0.0,0.0,13.19,0.54,6.5,0.0,13.1,2.51,1.4,19.14,8.68,3.14,48.18,71.34,101.7,399.77,51.79,768.09,305.96,152.31,305.48,436.11,484.79,745.33,223.82,2614.41,
Canada,11.66,31.53,47.42,33.43,42.71,21.01,14.46,12.65,18.45,26.97,42.8,56.03,66.21,119.8,111.31,247.83,103.23,57.42,68.0,99.84,129.69,240.27,365.6,137.66,110.42,206.34,152.91,191.76,139.63,193.97,225.85,181.32,165.0362,192.2533,200.05553,17.866049999999998
China,,,,,,,8.6,9.09,14.3,7.55,7.62,21.46,35.05,26.06,38.81,113.21,32.62,45.17,44.83,51.59,103.43,98.65,184.33,215.68,191.55,309.78,229.67,231.34,325.23,519.37,1038.12,757.06,738.5085,670.41185,495.79021,103.46251
Chile,,,0.22914,0.09035,0.32283,0.42453,0.51725,0.77133,0.92605,0.88894,4.06392,6.63524,5.10746,4.6909,19.09796,9.38265,4.74526,4.16179,3.15203,3.92716,4.51185,4.88007,15.07579,11.87239,11.9314,14.12102,19.40183,17.62008,10.32821,17.88998,17.73214,9.28083,13.11276,12.08994,10.341629999999999,
CIVETS,,,,,,,4.17317,4.2622,7.91954,7.20129,7.62856,17.77046,30.76431,47.18263,26.72353,26.52731,31.68084,17.41014,19.11767,39.35766,72.20086,77.28777,100.61896,79.44024,67.27605,82.16583,70.62109,83.60376,59.6563,56.38489,81.59175,57.37556,51.543699999999994,52.39501,44.19434,
Colombia,1.03505,0.0,0.0,0.89299,0.05731,0.3515,0.06312,0.03643,0.50975,1.80902,0.56499,3.0698,5.31361,4.67197,0.45699,2.15627,1.21969,2.64335,0.12865,2.05792,9.85154,13.43107,4.896,4.23278,9.45308,9.08347,15.09052,13.75063,9.75504,5.52706,5.49813,6.02072,3.24893,4.82557,6.97651,
Czech Republic,,,,,,,0.23703,0.06702,0.16035,0.42856,2.51799,0.87389,1.17382,1.23345,4.18326,3.48584,8.04753,6.45123,2.40104,3.0107,11.10196,3.57207,9.39194,5.8164,5.56471,3.22798,1.4634,7.7992,10.72646,6.08203,5.16181,,3.84979,5.56663,6.60022,
Finland,0.09076,0.11291,0.06138,0.45022,2.52337,2.03778,1.44795,2.24687,2.25577,2.10415,6.45555,4.84802,10.29682,10.2592,21.17185,36.36923,18.8925,19.06004,9.83297,13.59165,10.73741,13.57949,15.34044,11.56667,4.09726,3.64431,7.1974,6.39306,14.28082,15.81597,21.29593,16.36606,7.957,13.81925,17.99919,
France,,,,,,,39.46,34.78,31.17,39.73,33.42,67.15,107.59,134.7,378.78,260.19,131.87,112.65,58.79,139.99,146.21,286.36,252.02,186.99,81.99,107.05,104.27,51.4,96.57,250.72,157.64,151.41,212.3059,174.0279,186.27575,
Germany,,,,,,,27.70568,22.005470000000003,22.7731,15.877799999999999,36.49624,42.57672,77.60584,164.86284,497.86928,233.99016,130.07442,92.77694,67.58042999999999,84.10388,163.2753,302.05093,249.33004,146.9409,118.4012,55.88864,75.52838,94.35272,96.21373,182.05367,116.39646,220.29008,143.61276999999998,156.90941,153.46958999999998,47.317550000000004
DACH,,,,,,,29.96441,25.94113,25.05857,29.21589,39.7476,70.63842,151.7278,170.57955,542.21143,321.03025,190.86407,124.34759,87.27639,90.90001,184.78452,317.43621,334.68809,217.53003,135.73243,84.66902,90.15343,168.47145,96.27497,228.67391,199.07274,302.71421,160.40711,214.34855,200.99435999999997,
Hungary,,,,,0.17353,0.23814,0.3453,0.64868,3.0388,0.20353,3.22592,0.75426,1.07753,0.47897,2.86468,1.59157,1.61631,0.75081,2.62345,2.68764,4.27567,4.96665,25.60129,2.51157,1.93418,3.73688,3.1911,1.51078,0.89322,0.63959,1.75251,1.30925,1.44735,3.80339,1.77274,
Ireland,0.04055,0.47713,0.08608,2.87525,1.70599,2.58486,1.85596,1.35294,2.85922,2.19019,3.77304,5.37593,5.54724,9.11833,11.23049,19.12873,8.00969,7.45024,5.62751,7.66182,10.36912,18.26773,30.34893,13.94528,11.16164,19.0292,27.60162,25.67502,36.58628,131.17394,120.39255,44.21066,21.54577,91.71623,26.035580000000003,
India,,,,,,,,,,,,1.6,1.59,1.49,4.48,11.66512,5.04087,7.94846,6.32246,7.74023,36.23817,34.33418,56.39754,48.63331,41.09774,59.52346,35.38467,36.54976,31.80407,31.46738,51.29694,52.01782,68.35804,119.76735,75.52528,
Indonesia,,,,,,2.14617,0.78946,1.84767,0.60641,1.53745,2.67297,4.99717,6.74971,2.88575,5.74399,3.45768,6.5539,6.3424,4.30177,6.66186,10.6501,5.02273,9.1218,18.00258,9.17118,16.66287,16.12387,19.60885,9.58335,9.48267,4.69852,12.63585,12.2643,8.72212,,
Israel,0.05214,0.05214,0.0,0.18161,0.78673,2.10433,0.18729,0.67887,0.75268,0.66268,1.46831,3.90069,3.90532,6.03355,9.72483,10.90013,4.90467,2.94525,6.52659,3.4566,16.83966,14.2128,14.53701,15.64531,10.20418,12.59989,15.20095,9.80526,7.36845,9.12451,99.21878,20.81639,26.400029999999997,25.183220000000002,21.13315,
Italy,,,,,,,11.48272,13.54943,13.77377,20.34424,14.28251,17.73181,40.53866,51.77992,260.59373,141.32075,83.76887,67.11895,75.17072,58.95717,108.89115,124.25357,161.92844,43.11459,25.81297,52.44576,26.70752,33.03871,26.84604,36.44772,62.42408,46.01715,73.77534,64.65708000000001,37.65945,
Japan,,,,17.76796,43.22224,42.8261,8.60423,7.469060000000001,7.03803,5.84334,44.82001,11.94023,15.95574,20.73697,220.39489,139.64270000000002,65.24801000000001,50.50273,68.77996,116.81418,188.68223999999998,123.72219,137.14451,130.48961,109.36603,111.55503,131.01246,162.2691,114.17444,112.68839,162.3194,150.97704000000002,134.56810000000002,233.48794,183.76215,
Laos,,,,,,,,,,,,,,,0.0,0.0365,0.3947,0.01,0.0,0.085,0.07767,0.00271,0.01448,0.0002,0.088,0.11134,0.09678,0.001,0.00041,0.00503,0.16234,0.14125,0.02562,0.08167,0.21353,
Malaysia,,,,,,2.7572,5.32187,1.82459,10.15116,10.91329,10.6573,23.84824,20.41605,12.3055,15.2837,16.25434,10.826,7.78319,15.08536,7.81372,12.72583,24.88491,41.52252,22.23916,12.18234,41.32038,26.30678,23.29349,20.43227,41.72458,13.8965,11.17247,11.83037,15.910969999999999,31.610599999999998,
