LOCATION,Country,SUBJECT,Subject,STAGES,Development stages,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2006,2006,USD,US Dollar,6,Millions,,,456.3345791,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2007,2007,USD,US Dollar,6,Millions,,,680.2931704,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2008,2008,USD,US Dollar,6,Millions,,,755.7596265,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2009,2009,USD,US Dollar,6,Millions,,,532.6827792,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2010,2010,USD,US Dollar,6,Millions,,,367.8362514,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2011,2011,USD,US Dollar,6,Millions,,,246.5282326,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2012,2012,USD,US Dollar,6,Millions,,,331.3311956,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2013,2013,USD,US Dollar,6,Millions,,,252.9340836,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2014,2014,USD,US Dollar,6,Millions,,,265.9183694,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2015,2015,USD,US Dollar,6,Millions,,,288.4853766,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2016,2016,USD,US Dollar,6,Millions,,,165.7728807,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2017,2017,USD,US Dollar,6,Millions,,,354.8550766,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2018,2018,USD,US Dollar,6,Millions,,,428.8664477,,
AUS,Australia,VC_INV,Venture capital investments,VC_T,Total,USD_V,"USD, current prices",2019,2019,USD,US Dollar,6,Millions,,,487.3108021,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2006,2006,USD,US Dollar,6,Millions,,,36.89834055,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2007,2007,USD,US Dollar,6,Millions,,,29.28691385,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2008,2008,USD,US Dollar,6,Millions,,,36.90724036,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2009,2009,USD,US Dollar,6,Millions,,,28.85690019,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2012,2012,USD,US Dollar,6,Millions,,,14.49573981,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2013,2013,USD,US Dollar,6,Millions,,,11.58476719,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2014,2014,USD,US Dollar,6,Millions,,,18.92978223,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2015,2015,USD,US Dollar,6,Millions,,,33.05561607,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2016,2016,USD,US Dollar,6,Millions,,,29.73504587,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2017,2017,USD,US Dollar,6,Millions,,,42.15341082,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2018,2018,USD,US Dollar,6,Millions,,,50.80647812,,
AUS,Australia,VC_INV,Venture capital investments,SEED,Seed,USD_V,"USD, current prices",2019,2019,USD,US Dollar,6,Millions,,,44.49057252,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2006,2006,USD,US Dollar,6,Millions,,,97.14052921,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2007,2007,USD,US Dollar,6,Millions,,,84.51366569,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2008,2008,USD,US Dollar,6,Millions,,,171.954188,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2009,2009,USD,US Dollar,6,Millions,,,133.3656739,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2010,2010,USD,US Dollar,6,Millions,,,117.4140653,,
AUS,Australia,VC_INV,Venture capital investments,START,Start-up and other early stage,USD_V,"USD, current prices",2011,2011,USD,US Dollar,6,Millions,,,91.80340044,,
