Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,4,4,5,8,9,19,36,82,68,77,97,145,230,332,243,318,186,145,97,102,79,127,189,157,161,203,249,156,124,126,96,122,126,112,,
Australia,,,,,259,342,490,319,601,627,704,837,1004,1371,1293,1470,1450,1393,1892,2124,2309,2575,3056,2288,2084,2187,1669,1793,1598,1545,1555,1609,1959,1909,1981,
Austria,,,,,,,90,167,195,158,164,145,182,147,324,428,388,218,234,295,346,399,447,376,268,313,312,263,272,228,272,297,256,258,236,51
Belgium,10,11,33,56,86,96,214,194,193,181,222,240,222,352,512,640,488,307,283,331,333,437,483,442,302,342,339,305,284,337,433,438,479,407,439,
Brazil,8,16,13,20,22,16,31,46,66,74,128,180,215,369,335,528,404,256,209,268,269,372,854,929,487,676,804,792,610,555,664,671,643,542,721,
BRICS,,,,,,,,,,,779,992,1197,1659,1737,2845,2397,2452,3344,4043,4155,4977,6541,7859,8507,9494,,8565,7866,9076,11142,11153,10522,10285,10565,
Brunei,,,,,,,,,2,,2,5,1,5,3,2,1,,5,1,2,7,5,1,7,4,1,3,3,4,4,1,1,2,1,
Cambodia,,,,,,,,,1,1,1,6,3,2,1,4,4,3,3,4,7,11,10,20,11,5,13,15,15,24,18,19,25,26,20,
Canada,129,194,261,346,711,687,860,797,840,935,1148,1745,1981,2121,2115,2862,2212,2057,1720,2154,2220,2811,3361,2953,3089,3006,2887,2608,2303,2389,2184,2262,3566,3389,2967,614
China,,,,,,,241,229,372,378,363,581,721,787,882,1501,1176,1724,2357,3229,2880,3163,4198,4380,4065,4624,4809,4313,4547,5953,7899,8065,7934,7879,7928,1229
Chile,,,4,11,18,16,13,21,39,61,56,85,76,96,136,140,116,82,60,115,58,83,167,158,210,239,267,240,178,146,153,145,142,151,165,
CIVETS,,,,,,,194,118,213,252,369,630,679,950,751,836,746,467,563,565,686,877,1050,1493,1548,1873,1771,1673,1415,1544,1710,1731,1530,1263,1357,
Colombia,1,1,2,4,1,9,7,5,11,17,24,32,41,65,37,63,48,38,18,60,55,93,121,101,151,190,204,177,123,112,108,91,104,111,111,
Czech Republic,,,,,,,7,6,45,49,112,127,127,119,249,313,221,141,140,125,122,164,230,197,122,205,214,182,154,139,201,,182,215,216,
Finland,6,9,16,30,83,78,435,469,324,324,353,376,375,343,511,697,589,532,405,370,367,450,479,496,295,364,364,283,278,293,311,388,354,384,346,
France,,,,,,,1743,1349,1123,1040,1192,1258,1281,1359,1594,2416,1823,1213,1066,1352,1593,1996,2267,1918,1572,1883,2099,2011,1903,2612,3232,3241,2696,2506,2534,
Germany,,,,,,,1267,1150,1076,1522,2164,1957,1523,1568,2562,3118,2076,1656,1586,1659,1930,2388,2709,2299,1774,1762,2101,1890,1796,2042,2042,2185,2117,2228,2312,518
DACH,,,,,,,1567,1543,1463,1882,2536,2399,2310,2016,3288,4112,2880,2188,2121,2251,2668,3296,3812,3522,2620,2588,2969,2628,2485,2784,2784,2985,2873,3034,2983,
Hungary,,,,,13,23,51,72,86,65,164,125,94,106,224,279,164,138,144,104,119,123,138,114,49,88,47,62,70,56,71,106,146,110,130,
Ireland,6,7,14,65,77,88,122,84,85,108,176,192,189,232,244,373,235,167,209,209,221,310,363,297,226,206,214,268,225,313,356,306,366,432,390,
India,,,,,,,,,,,,115,127,156,395,892,709,582,706,763,1254,1449,1510,1402,1294,1330,1046,1072,959,1087,1257,1316,1547,1870,1684,
Indonesia,,,,,,17,34,25,40,44,66,153,125,110,104,127,176,140,144,159,202,179,212,375,464,590,465,322,211,200,146,207,178,208,,
Israel,4,4,1,8,20,32,47,38,44,56,66,103,118,161,251,305,148,90,138,144,192,203,206,199,134,130,149,286,201,147,190,194,235,220,256,
Italy,,,,,,,598,752,518,539,565,501,490,547,788,1141,907,573,742,722,878,1055,1100,1123,854,795,760,604,628,721,980,1164,1317,1366,1435,
Japan,,,,182,297,462,362,185,145,157,180,487,485,608,1464,1824,1588,1756,1976,2281,2893,2902,3043,2973,2815,2585,2385,2589,2565,2573,2866,2970,3211,3554,3412,
Laos,,,,,,,,,,,,,,,1,4,4,3,1,3,8,1,4,2,4,2,10,3,3,3,4,7,6,7,5,
Malaysia,,,,,,61,165,89,179,283,487,898,822,701,669,696,791,776,1063,1184,1179,1097,1065,1032,899,842,757,608,623,641,568,538,596,598,483,
Mexico,,,,13,28,50,94,96,114,111,99,133,176,201,156,240,158,161,158,149,110,220,294,253,220,309,278,259,251,249,234,219,208,220,164,
Myanmar,,,,,,,,,2,2,2,3,3,4,2,3,5,2,1,1,1,3,5,6,12,12,17,18,19,12,12,17,23,25,27,
Netherlands,,,,146,237,292,564,480,439,481,531,618,624,833,994,1169,848,639,630,734,856,960,1108,1142,857,968,,836,761,807,894,1077,1028,1055,1131,
Nigeria,,,,1,3,2,3,2,6,4,3,11,2,5,5,15,8,6,8,28,37,43,42,25,12,30,35,40,32,64,53,53,37,51,50,
Norway,,,,,,,207,199,212,203,219,182,167,277,480,530,422,302,288,362,495,556,719,587,462,666,691,667,615,451,466,446,431,384,389,
Pakistan,,,,,,,7,8,5,11,10,14,14,8,8,17,13,23,14,22,30,28,29,41,47,13,,17,22,32,42,49,47,57,21,
Philippines,,,,,,,18,13,34,53,100,157,97,115,185,184,116,95,104,140,159,152,198,200,171,171,183,180,144,157,144,133,158,155,165,
Poland,,,,,4,10,34,35,70,76,158,192,150,165,297,425,313,232,194,138,218,291,433,497,369,499,398,293,328,519,792,642,490,518,582,
Portugal,,,,,,,52,113,80,61,75,57,72,143,183,293,233,211,121,157,175,161,232,261,141,170,91,97,95,93,160,167,184,210,164,
Russia,,,,,,,,,30,64,144,129,97,78,183,418,398,400,488,398,467,655,961,1717,3285,3684,3211,2532,2021,1915,1820,1849,1448,1018,892,
Saudi Arabia,,,,,,,11,5,10,5,20,10,18,20,18,24,21,22,17,11,20,40,60,107,53,107,,79,78,86,93,85,104,93,90,
Singapore,5,2,7,10,35,87,132,127,192,234,235,313,333,352,483,631,581,535,575,754,865,795,907,740,647,809,775,722,675,855,778,859,965,1000,1005,195
South Africa,,,,,,,134,55,121,156,239,373,455,701,480,488,318,156,260,241,244,338,290,436,369,356,,382,333,402,450,432,451,329,310,
South Korea,,,,,6,13,28,15,23,36,76,103,105,199,289,361,470,368,306,290,329,780,809,1244,1310,1095,1272,1170,1168,1410,1560,1817,1734,2130,2016,
Spain,,,,,185,208,371,463,253,235,284,280,455,834,880,1138,921,800,995,708,715,1101,1285,1519,964,1159,1209,961,848,1074,1101,1088,1206,1383,1312,
Sweden,,,,,169,208,553,431,392,403,419,390,399,592,936,1087,854,527,499,679,884,1118,1414,1101,831,1098,1141,982,917,827,931,1057,1138,1088,1090,
Switzerland,,,,,,,354,419,345,397,421,441,435,422,671,854,587,437,432,431,574,736,905,1030,746,652,758,636,574,656,631,675,685,719,647,172
Taiwan,,2,1,9,14,34,23,18,14,25,41,59,55,96,129,185,178,189,175,158,192,257,194,242,241,275,178,232,230,290,373,328,394,314,171,
Thailand,,,,,,,26,32,44,49,109,107,131,257,240,252,260,264,310,394,353,323,306,365,334,369,338,263,240,236,214,278,258,244,202,
Turkey,,,,,16,13,15,28,26,18,33,34,36,49,51,80,148,84,82,64,120,167,238,267,183,269,,320,364,363,347,230,168,202,248,
United Arab Emirates,,,,,,,,,,,,,,,26,19,37,24,24,45,76,100,198,261,146,147,191,162,156,172,192,196,222,228,201,
United Kingdom,248,581,1127,2110,2704,2431,2139,1961,2067,2410,2801,3064,3788,4313,4459,5171,3826,3081,3498,3549,3837,4325,4901,4077,2901,3335,3399,3307,2975,3471,3733,3665,4312,4747,4463,880
United States of America,2309,3447,3708,4443,5840,5982,5702,5915,6782,8076,9368,11856,13147,14780,13245,14114,9652,8571,9272,10744,11436,13019,13999,11731,9466,10191,10536,10629,10877,12283,12885,13430,15558,14936,13506,3191
Vietnam,,,,,,,,,,,,13,7,7,21,27,27,27,39,21,28,47,119,184,299,350,382,363,301,348,533,659,514,324,354,
