Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUS,0.927,0.8859999999999999,0.773,0.701,0.621,0.547,0.485,0.409,0.445,0.542,0.504,0.51,0.5670000000000001,0.643,0.6729999999999999,0.6829999999999999,,,,,
AUT,0.922,0.909,1.069,1.185,1.179,1.1059999999999999,1.011,0.8859999999999999,0.826,1.053,0.995,0.899,0.9009999999999999,0.9840000000000001,1.001,1.058,,,,,
BEL,2.735,2.758,2.988,3.218,3.227,3.208,3.156,3.005,3.065,3.555,3.508,3.4739999999999998,3.242,3.237,3.238,2.948,,,,,
CAN,0.675,0.764,0.7490000000000001,0.748,0.665,0.607,0.5760000000000001,0.544,0.64,0.9490000000000001,0.792,0.648,0.588,0.563,0.562,0.619,,,,,
CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
DEU,2.1180000000000003,1.976,2.0380000000000003,2.084,2.053,1.925,1.742,1.489,1.392,1.8840000000000001,1.9380000000000002,1.642,1.724,1.9369999999999998,2.205,2.369,,,,,
DNK,1.4140000000000001,1.4140000000000001,1.636,1.81,1.785,1.67,1.4380000000000002,1.3030000000000002,1.251,1.555,1.599,1.506,1.574,1.6280000000000001,1.626,1.62,,,,,
ESP,1.31,1.339,1.489,1.662,1.726,1.828,1.6219999999999999,1.339,1.225,1.618,1.47,1.131,1.032,1.026,0.965,0.9059999999999999,,,,,
FIN,0.589,0.581,0.594,0.57,0.625,0.635,0.5660000000000001,0.5429999999999999,0.6579999999999999,0.946,0.929,1.048,0.84,0.6920000000000001,0.516,0.48700000000000004,,,,,
FRA,0.6859999999999999,0.547,0.503,0.5,0.526,0.547,0.575,0.664,0.718,0.8490000000000001,0.797,0.75,0.541,0.46799999999999997,0.35700000000000004,0.31,,,,,
GRC,0.8320000000000001,0.748,0.871,0.93,0.9670000000000001,0.909,0.937,0.9990000000000001,1.386,2.529,3.208,2.926,2.783,2.531,2.135,1.485,,,,,
HUN,0.39399999999999996,0.375,0.402,0.42,0.44299999999999995,0.47,0.47600000000000003,0.424,0.49,0.773,0.821,0.7959999999999999,0.91,1.045,1.0170000000000001,0.996,,,,,
IRL,0.56,0.573,0.531,0.395,0.29100000000000004,0.272,0.253,0.237,0.212,0.34299999999999997,0.259,0.255,0.237,0.212,0.185,0.174,,,,,
ITA,1.383,1.3619999999999999,1.13,1.35,1.492,1.45,1.232,1.003,0.868,1.122,1.318,1.271,1.405,1.6780000000000002,1.5819999999999999,1.456,,,,,
JPN,1.301,1.077,1.014,0.8170000000000001,0.5479999999999999,0.445,0.36200000000000004,0.25,0.297,0.485,0.5670000000000001,0.41700000000000004,0.386,0.429,0.4,0.341,,,,,
NLD,0.445,0.45899999999999996,0.5710000000000001,0.7290000000000001,0.6609999999999999,0.521,0.31,0.21100000000000002,0.187,0.41700000000000004,0.488,0.40700000000000003,0.34600000000000003,0.341,0.373,0.445,,,,,
NOR,0.626,0.6409999999999999,0.767,1.022,1.094,1.3319999999999999,1.287,1.139,0.8759999999999999,1.166,1.235,1.194,1.54,1.608,1.294,0.9790000000000001,,,,,
NZL,1.6369999999999998,1.7530000000000001,1.844,1.8330000000000002,1.819,1.806,1.7790000000000001,1.74,2.184,3.352,3.003,3.34,3.2319999999999998,3.116,2.5340000000000003,2.025,,,,,
POL,1.31,1.0190000000000001,0.996,1.143,1.236,1.131,0.922,0.632,0.435,0.6859999999999999,0.5660000000000001,0.419,0.455,0.46399999999999997,0.38799999999999996,0.331,,,,,
PRT,0.506,0.44799999999999995,0.7170000000000001,1.034,1.036,0.94,0.812,0.617,0.5489999999999999,0.958,0.9540000000000001,0.662,0.6940000000000001,0.775,0.768,0.809,,,,,
SWE,0.006,0.005,0.019,0.031,0.048,0.063,0.065,0.063,0.066,0.16899999999999998,0.115,0.105,0.129,0.11900000000000001,0.136,0.20199999999999999,,,,,
