Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Austria,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Belgium,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Denmark,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Finland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
France,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Germany,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,nan,,
Greece,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Hungary,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,
Ireland,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Italy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Japan,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Netherlands,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,,
Norway,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Poland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Portugal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Spain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Sweden,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,nan,,
Switzerland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,nan,,
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,,
